Seed,Model,Threshold,Validation Threshold MCC,Train Seconds,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,ROC-AUC,PR-AUC,MCC,Cohen Kappa,Log Loss,Brier Score,FPR,FNR,TN,FP,FN,TP,Inference Seconds,Throughput Samples/Sec,Encoding,Layers,Epochs Executed,Maximum Epoch Budget,Beta Uncertainty,Beta Strategy,Selected Validation Cycle,Selected Validation Defense Score,Maximum Optimization Budget,Memory Size
99,LogisticRegression,0.7849999999999999,0.6014851826614852,0.006357499998557614,0.9,0.7321428571428572,1.0,0.4642857142857143,1.0,0.6341463414634146,0.7464871194379391,0.6303028319304899,0.6430019533342476,0.5850239763924752,0.4963412957616807,0.15923758663656412,0.0,0.5357142857142857,244,0,30,26,0.0002494999989721691,1202404.8145726204,,,,,,,,,,
99,PennyLaneVQC_Angle,0.4149999999999999,0.5524669060798213,307.9487970000009,0.8933333333333333,0.7280444964871194,0.9285714285714286,0.4642857142857143,0.9918032786885246,0.6190476190476191,0.8133050351288057,0.6365899774614623,0.610906928028455,0.5649021029731689,0.3878651658055093,0.11379934659027195,0.00819672131147541,0.5357142857142857,242,2,30,26,1.4693886999993993,204.1665353763253,angle,2.0,29.0,60.0,,,,,,
99,QCA,0.5399999999999999,0.6014851826614852,4428.528883699999,0.8933333333333333,0.7280444964871194,0.9285714285714286,0.4642857142857143,0.9918032786885246,0.6190476190476191,0.7942769320843092,0.6328131706232724,0.610906928028455,0.5649021029731689,0.4298391868869726,0.12726501530692375,0.00819672131147541,0.5357142857142857,242,2,30,26,10306.0439627,0.02910913257169974,,,,,0.1,Frozen from seed-42 validation,3.0,0.6442192825167714,60.0,600.0
99,RandomForest,0.27499999999999997,0.8821458608861615,1.0014568000005966,0.98,0.9670667447306791,0.9464285714285714,0.9464285714285714,0.9877049180327869,0.9464285714285714,0.9913641686182669,0.9764333129149609,0.9341334894613583,0.9341334894613583,0.07490922473549753,0.0188112500000043,0.012295081967213115,0.05357142857142857,241,3,3,53,0.08180999999967753,3667.0333700181213,,,,,,,,,,
99,XGBoost,0.6,0.8880219245112838,0.2903878999986773,0.9766666666666667,0.9512587822014051,0.9622641509433962,0.9107142857142857,0.9918032786885246,0.9357798165137615,0.9918032786885246,0.9766476594296848,0.9220578677597348,0.9215363921685846,0.07914335670769887,0.019255769291422697,0.00819672131147541,0.08928571428571429,242,2,5,51,0.0012447999997675652,241002.57073908852,,,,,,,,,,
123,LogisticRegression,0.7849999999999999,0.6014851826614852,0.005389200000081473,0.9,0.7321428571428572,1.0,0.4642857142857143,1.0,0.6341463414634146,0.7464871194379391,0.6303028319304899,0.6430019533342476,0.5850239763924752,0.4963412957616807,0.15923758663656412,0.0,0.5357142857142857,244,0,30,26,0.00024369999982809532,1231021.7489192383,,,,,,,,,,
123,PennyLaneVQC_Angle,0.4099999999999999,0.5524669060798213,538.7876228999999,0.8933333333333333,0.7280444964871194,0.9285714285714286,0.4642857142857143,0.9918032786885246,0.6190476190476191,0.8127927400468384,0.6382846943727312,0.610906928028455,0.5649021029731689,0.38733265279779827,0.113644818309322,0.00819672131147541,0.5357142857142857,242,2,30,26,1.4271350999997594,210.2113528004816,angle,2.0,51.0,60.0,,,,,,
123,QCA,0.5199999999999999,0.5872051314426673,696.8078595000006,0.8933333333333333,0.7280444964871194,0.9285714285714286,0.4642857142857143,0.9918032786885246,0.6190476190476191,0.8021809133489461,0.6347568935630946,0.610906928028455,0.5649021029731689,0.41655933028079517,0.1222655158280924,0.00819672131147541,0.5357142857142857,242,2,30,26,1.4081083000000945,213.05179438256266,,,,,0.1,Frozen from seed-42 validation,3.0,0.6488258002691053,60.0,600.0
123,RandomForest,0.44499999999999995,0.8763601677415711,0.887195100000099,0.98,0.953307962529274,0.9807692307692307,0.9107142857142857,0.9959016393442623,0.9444444444444444,0.9905957259953161,0.9747615529779475,0.9332215474080238,0.9322697170379289,0.07915365099523428,0.019675062500004566,0.004098360655737705,0.08928571428571429,243,1,5,51,0.08048300000018571,3727.4952474349584,,,,,,,,,,
123,XGBoost,0.6599999999999999,0.8991346003751878,0.22605560000010883,0.9833333333333333,0.9622365339578455,0.9811320754716981,0.9285714285714286,0.9959016393442623,0.9541284403669725,0.990998243559719,0.9745671957991223,0.9444887273387098,0.9439545658347034,0.08096790848069643,0.01902944655611115,0.004098360655737705,0.07142857142857142,243,1,4,52,0.0014535999998770421,206384.14971476098,,,,,,,,,,
2026,LogisticRegression,0.7849999999999999,0.6014851826614852,0.005943199999819626,0.9,0.7321428571428572,1.0,0.4642857142857143,1.0,0.6341463414634146,0.7464871194379391,0.6303028319304899,0.6430019533342476,0.5850239763924752,0.4963412957616807,0.15923758663656412,0.0,0.5357142857142857,244,0,30,26,0.0002485999993950827,1206757.8468623841,,,,,,,,,,
2026,PennyLaneVQC_Angle,0.4049999999999999,0.5524669060798213,797.4857185000001,0.8933333333333333,0.7280444964871194,0.9285714285714286,0.4642857142857143,0.9918032786885246,0.6190476190476191,0.8155005854800936,0.6394049467077443,0.610906928028455,0.5649021029731689,0.38719958757443784,0.11368474508576717,0.00819672131147541,0.5357142857142857,242,2,30,26,5.808256399999664,51.65061239376715,angle,2.0,38.0,60.0,,,,,,
2026,QCA,0.5349999999999999,0.5872051314426673,2478.0813758999993,0.8933333333333333,0.7280444964871194,0.9285714285714286,0.4642857142857143,0.9918032786885246,0.6190476190476191,0.8018149882903981,0.6353746942837943,0.610906928028455,0.5649021029731689,0.4228608795948231,0.12456644403465679,0.00819672131147541,0.5357142857142857,242,2,30,26,1.4491766999999527,207.014092898409,,,,,0.1,Frozen from seed-42 validation,4.0,0.6439176013417027,60.0,600.0
2026,RandomForest,0.24999999999999994,0.8725920363071725,0.8802180000002409,0.9733333333333334,0.9560889929742389,0.9285714285714286,0.9285714285714286,0.9836065573770492,0.9285714285714286,0.9903029859484778,0.9754497599958103,0.9121779859484778,0.9121779859484778,0.07789306088995775,0.019297229166671297,0.01639344262295082,0.07142857142857142,240,4,4,52,0.07346140000026935,4083.7773306648123,,,,,,,,,,
2026,XGBoost,0.63,0.8763601677415711,0.21227650000037102,0.98,0.9601873536299765,0.9629629629629629,0.9285714285714286,0.9918032786885246,0.9454545454545454,0.9934133489461358,0.9777166055082467,0.9334459345590099,0.9332146037399822,0.07722929946928178,0.019534850298236497,0.00819672131147541,0.07142857142857142,242,2,4,52,0.001750499999616295,171379.60586447254,,,,,,,,,,
